u,p95_ms,phi,raw_cost,LCI,date,family,gpu
0.88,73580.14224569326,0.737007439804572,0.0015045149791248534,0.0020413837064165827,2024-07-01,Code,A100-40GB
0.92,100283.11380997364,0.6927530307145192,0.0014362545436656692,0.0020732562399392,2024-07-01,Code,A100-40GB
0.95,130505.38741161833,0.6572011405816602,0.0013924813057028193,0.002118805369799563,2024-07-01,Code,A100-40GB
0.4,39998.04077577232,0.7860107855581984,0.002482949894742849,0.0031589259846854924,2024-07-01,Reasoning,A100-40GB
0.5,40964.27055738722,0.7822673496919682,0.0019752378189014114,0.0025250163127467826,2024-07-01,Reasoning,A100-40GB
0.6,41392.94058220638,0.7806403458697437,0.0016504320147550744,0.0021142028124568166,2024-07-01,Reasoning,A100-40GB
0.7,44487.17367199627,0.769465736890887,0.0014146831722408057,0.00183852653135277,2024-07-01,Reasoning,A100-40GB
0.78,48411.99268339783,0.7565639742832404,0.0012739492480109912,0.0016838618957741352,2024-07-01,Reasoning,A100-40GB
0.84,55617.83760620879,0.73585700629488,0.0011768368193435493,0.0015992737845482378,2024-07-01,Reasoning,A100-40GB
0.88,55185.10668426995,0.7370074398045707,0.00112838623434364,0.0015310377798124395,2024-07-01,Reasoning,A100-40GB
0.92,75212.33535748023,0.6927530307145192,0.0010771909077492519,0.0015549421799543998,2024-07-01,Reasoning,A100-40GB
0.95,97879.04055871375,0.6572011405816602,0.0010443609792771143,0.001589104027349672,2024-07-01,Reasoning,A100-40GB
0.4,25639.769728059182,0.7922005391050119,0.0010696924345478837,0.0013502798619101776,2025-06-01,QA,A100-40GB
0.5,26259.14779319694,0.788427649549926,0.0008509623797827493,0.001079315749857988,2025-06-01,QA,A100-40GB
0.6,26533.936270645117,0.7867878413606236,0.0007110311181297383,0.0009037139121267098,2025-06-01,QA,A100-40GB
0.7,28517.419020510428,0.7755252613773841,0.0006094669448756297,0.0007858763282490324,2025-06-01,QA,A100-40GB
0.78,31033.32864320374,0.7625219053137021,0.0005488366380169972,0.000719765077163528,2025-06-01,QA,A100-40GB
0.84,35652.46000397999,0.7416518717087425,0.0005069991323685427,0.0006836079725659328,2025-06-01,QA,A100-40GB
0.88,35375.068387352534,0.7428113648559189,0.00048612588626174234,0.0006544405609034197,2025-06-01,QA,A100-40GB
0.92,48213.03548556425,0.6982084528771212,0.0004640701638896656,0.0006646584726629456,2025-06-01,QA,A100-40GB
0.95,62742.9747171242,0.6623765920176864,0.00044992653328811827,0.000679260920011655,2025-06-01,QA,A100-40GB
0.4,51279.539456118364,0.7922006115156474,0.0021393848690957674,0.0027005594769772667,2025-06-01,Code,A100-40GB
0.5,52518.29558639388,0.7884276961123331,0.0017019247595654987,0.0021586313722330385,2025-06-01,Code,A100-40GB
0.6,53067.872541290235,0.7867878796476057,0.0014220622362594766,0.0018074277362996542,2025-06-01,Code,A100-40GB
0.7,57034.838041020856,0.7755252707358624,0.0012189338897512594,0.0015717526375312897,2025-06-01,Code,A100-40GB
0.78,62066.65728640748,0.7625219068939073,0.0010976732760339945,0.0014395301513438592,2025-06-01,Code,A100-40GB
0.84,71304.92000795998,0.7416518717702637,0.0010139982647370854,0.0013672159450184528,2025-06-01,Code,A100-40GB
0.88,70750.13677470507,0.742811364930634,0.0009722517725234847,0.0013088811216751867,2025-06-01,Code,A100-40GB
0.92,96426.0709711285,0.6982084528771311,0.0009281403277793312,0.0013293169453258724,2025-06-01,Code,A100-40GB
0.95,125485.9494342484,0.6623765920176864,0.0008998530665762365,0.00135852184002331,2025-06-01,Code,A100-40GB
0.4,38459.65459208878,0.792200611381004,0.0016045386518218254,0.002025419608077193,2025-06-01,Reasoning,A100-40GB
0.5,39388.721689795406,0.7884276960418762,0.001276443569674124,0.0016189735293194564,2025-06-01,Reasoning,A100-40GB
0.6,39800.904405967674,0.786787879594734,0.0010665466771946073,0.001355570802315834,2025-06-01,Reasoning,A100-40GB
0.7,42776.12853076564,0.7755252707291856,0.0009142004173134445,0.0011788144781586163,2025-06-01,Reasoning,A100-40GB
0.78,46549.992964805606,0.7625219068934195,0.0008232549570254958,0.001079647613508585,2025-06-01,Reasoning,A100-40GB
0.84,53478.69000596999,0.7416518717702596,0.0007604986985528141,0.0010254119587638452,2025-06-01,Reasoning,A100-40GB
0.88,53062.6025810288,0.7428113649306286,0.0007291888293926134,0.0009816608412563969,2025-06-01,Reasoning,A100-40GB
0.92,72319.55322834638,0.6982084528771311,0.0006961052458344985,0.0009969877089944044,2025-06-01,Reasoning,A100-40GB
0.95,94114.4620756863,0.6623765920176864,0.0006748897999321775,0.0010188913800174826,2025-06-01,Reasoning,A100-40GB
